小时,温度,风力方向,风级,降水量,相对湿度,空气质量
07,28,东北风,3,0,86,
06,27,东北风,4,0,92,14
05,26.9,东北风,3,0,93,13
04,26.7,东北风,3,1.7,95,13
03,27.2,东北风,3,0.2,91,12
02,27.6,东北风,3,0.1,89,13
01,28.5,东北风,3,0,82,14
00,28.8,东北风,2,0,81,13
23,28.9,东北风,3,0,78,11
22,28.8,东风,3,0,81,12
21,28.9,东北风,3,0,83,14
20,29,东风,4,0,82,16
19,28.9,东北风,2,0,82,15
18,29.4,东风,3,0,80,15
17,28.9,东风,3,0,84,15
16,29.4,东北风,3,0,83,15
15,28.9,东北风,4,0.2,85,15
14,31.3,东风,3,0,76,14
13,30.9,东风,3,0,79,14
12,32.4,东风,4,0,72,14
11,31.9,东风,3,0,75,15
10,31.4,东风,3,0,76,14
09,31.4,东北风,3,0,75,14
08,30.3,东北风,3,0,80,14
